,Country,City name,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
220,CL,Coyhaique,-45.58,-72.07,0,285.15,283.7,285.15,285.15,1.7,81,1012
221,NO,Sørumsand,59.99,11.24,51,276.4,272.13,277.59,275.37,2.1,47,1013
222,US,Avera,33.19,-82.53,1,297.05,298.21,299.15,294.26,3.51,78,1008
223,VU,Luganville,-15.53,167.17,17,302.11,305.01,302.11,302.11,4.22,75,1011
224,NO,Honningsvåg,70.98,25.97,100,271.71,258.32,271.71,271.71,15.93,97,990
225,US,Bethel,41.37,-73.41,20,283.04,279.9,285.93,280.37,2.1,58,1003
226,US,Perry,37.25,-83.2,75,291.77,292.09,296.15,287.59,2.1,82,1006
227,IN,Revelganj,25.78,84.67,4,296.15,295.04,296.15,296.15,1.94,46,1008
228,UA,Baturyn,51.35,32.88,8,278.83,275.57,278.83,278.83,2.47,82,1024
229,CN,Weinan,34.5,109.51,0,289.73,288.18,290.37,287.15,2,62,1015
230,US,Hamilton,39.18,-84.53,1,294.17,291.86,296.48,291.48,2.62,43,1001
231,US,Marquette,46.53,-87.63,5,279.53,272.17,281.15,277.59,6.2,31,1003
232,NE,Gouré,13.98,10.27,34,300.77,295.53,300.77,300.77,4.21,14,1007
233,RU,Ola,59.58,151.28,88,270.11,265.89,270.11,270.11,2.34,88,1015
234,SO,Bandarbeyla,9.49,50.81,38,299.65,301.65,299.65,299.65,2,65,1011
235,CA,Clyde River,70.47,-68.59,1,259.15,254.25,259.15,259.15,2.1,84,1025
236,NA,Walvis Bay,-22.96,14.51,0,287.35,287.64,287.59,287.15,0.5,87,1014
237,US,Russellville,35.28,-93.13,1,301.11,299.14,304.15,298.15,2.6,31,1004
238,AU,Esperance,-33.87,121.9,0,294.15,287.3,294.15,294.15,9.8,49,1019
239,TR,Susurluk,39.91,28.16,20,279.11,275.23,281.15,277.15,3.6,86,1020
240,MM,Pakokku,21.33,95.1,50,300.13,299.12,300.13,300.13,1.59,35,1010
241,IN,Port Blair,11.67,92.75,44,300.39,303.98,300.39,300.39,2.24,77,1011
242,LR,Harper,4.38,-7.72,54,300.89,305.06,300.89,300.89,2.67,82,1011
243,SJ,Longyearbyen,78.22,15.64,20,251.15,245.09,251.15,251.15,3.32,76,1008
244,BR,Tucuruí,-3.77,-49.67,100,297.06,301.32,297.06,297.06,1.45,95,1010
245,LY,Waddān,29.16,16.14,1,286.28,283.74,286.28,286.28,1.75,54,1021
246,BR,Beberibe,-4.18,-38.13,20,302.15,306.08,302.15,302.15,2.6,74,1011
247,PW,Kloulklubed,7.04,134.26,75,302.15,305.73,302.15,302.15,3.1,74,1012
248,CA,Thompson,55.74,-97.86,40,271.15,264.26,271.15,271.15,5.7,63,1010
249,IN,Rājgarh,28.63,75.38,5,295.23,292.05,295.23,295.23,2.32,28,1011
250,ID,Kendari,-3.94,122.5,100,297.84,301.69,297.84,297.84,1.07,84,1012
251,IN,Dholka,22.72,72.47,20,299.15,299.73,299.15,299.15,3.1,61,1010
252,BR,Poconé,-16.26,-56.62,97,298.04,301.2,298.04,298.04,1.45,79,1011
253,MY,Marabu,4.41,114.01,75,298.93,303.37,299.15,298.71,2.6,94,1013
254,CI,Sassandra,4.95,-6.08,85,300.16,304.92,300.16,300.16,1.91,86,1011
255,TH,Pa Sang,18.53,98.94,20,299.05,300.27,299.26,298.15,1.5,57,1012
256,CV,São Filipe,14.9,-24.5,0,298.35,296.41,298.35,298.35,6.25,61,1013
257,GN,Telimele,10.92,-13.33,7,294.73,296.54,294.73,294.73,0.79,75,1011
258,UZ,Yangi Marg`ilon,40.43,71.72,90,275.15,270.73,275.15,275.15,2.1,45,1023
