,Country,City name,Date,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
292,DE,Itzehoe,1586462841,53.92,9.52,100,280.15,276.13,281.48,278.71,3.1,65,1027
293,RU,Ayan,1586462842,56.45,138.17,3,271.94,268.06,271.94,271.94,2.25,92,1025
294,ML,Kidal,1586462842,18.44,1.41,99,302.88,298.78,302.88,302.88,2.1,10,1008
295,PG,Vanimo,1586462666,-2.67,141.3,90,299.27,302.34,299.27,299.27,3.43,85,1012
296,NO,Hammerfest,1586462842,70.66,23.68,75,269.15,261.64,269.15,269.15,6.7,79,1006
297,US,Westport,1586462754,41.14,-73.36,90,284.02,276.76,286.15,282.04,8.7,66,987
298,AO,Menongue,1586462843,-14.66,17.69,15,291.06,289.42,291.06,291.06,2.32,59,1015
299,US,Grove City,1586462793,39.88,-83.09,90,283.06,275.86,285.37,280.93,6.7,37,1004
300,AU,Stawell,1586462843,-37.05,142.77,46,285.4,284.53,285.4,285.4,0.5,74,1017
301,RO,Constanța,1586462843,44.18,28.65,5,280.22,277.86,280.37,280.15,1.5,81,1018
302,RU,Ol'ga,1586462843,43.74,135.29,14,272.29,268.03,272.29,272.29,2.91,94,1021
303,RU,Sangar,1586462844,63.92,127.47,100,272.3,268.23,272.3,272.3,2.72,97,1025
304,CN,Aksu,1586462844,41.12,80.26,99,288.97,284.08,288.97,288.97,2.96,20,1015
305,ID,Kawalu,1586462844,-7.38,108.21,56,295.97,298.92,295.97,295.97,0.66,81,1011
